"Before 1 October 2018, will Brazil's Workers' Party nominate a candidate for president who is not Luiz Inàcio Lula da Silva?",2018-04-18T17:00:47Z,2018-09-11T17:00:03Z,Yes,"['Yes', 'No']",['Non-US Politics'],386,654,187,237,"Lula's conviction and incarceration based upon corruption charges has cast doubt on his ability to run in Brazil's upcoming presidential election (The Economist, The Washington Post, MercoPress, The Economist). Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/936-before-1-october-2018-will-brazil-s-workers-party-nominate-a-candidate-for-president-who-is-not-luiz-inacio-lula-da-silva
37236,2018-08-06T14:00:32Z,10,[100.0],[0.0],"Brazil media today headlining PT (""Workers' Party"") nominating Lula as its candidate for president with ex-Sao Paulo mayor Fernando Haddad as a vice president and... announcing an allianz with PCd0B (Communist Party Brazil). Link https://www.estadao.com.br/?utm_source=newsletter&utm_medium=email&utm_campaign=manchetes This is likely artifact since the wheelspin of justice system blocking Lula from runningand his legal team filing appeals can only last just so long in the ""Louisiana-style"" ""jungle"" electoral system that operates in Brazil. Major media, including Bloomberg, the Guardian et al are making a big story out of the Lula drama. Mainstream, online and social media conjecture possibility he could become a ""kingmaker,"" but his party is full of mendicants just like the rest."
1333,2018-08-05T21:55:59Z,9,[87.0],[1.0],
1333,2018-08-05T21:51:55Z,8,[86.0],[1.0],
11788,2018-08-05T16:33:28Z,1,[100.0],[100.0],
28414,2018-08-05T15:22:37Z,7,[100.0],[20.0],
28414,2018-08-05T15:18:52Z,6,[80.0],[-20.0],
29918,2018-08-05T13:43:13Z,2,[65.0],[20.0],"1. Brazil's Workers Party nominated Lula as the presidential candidate, however, vice presidential candidate could be the key candidate https://www.bbc.com/news/world-latin-america-45072660"
55331,2018-08-05T13:18:00Z,1,[5.0],[5.0],
691,2018-08-05T12:53:52Z,35,[91.0],[1.0],"He is still enormously popular and would probably win if allowed to stand. However, it would be odd for a major party to put up a nominee that wouldn't be allowed to campaign or to win. I think they'll go to their Fallback Guy in the next couple of days."
43207,2018-08-05T12:39:47Z,2,[99.0],[19.0],PT is ready to elevate a candidate in Lula's stead and pundits are saying that it is extremely unlikely that he will win an appeal. https://www.usnews.com/news/world/articles/2018-08-01/lulas-party-strikes-pact-to-keep-socialists-neutral-in-brazil-vote
767,2018-08-05T01:02:34Z,6,[20.0],[-45.0],Lula was officially named as the PT candidate. We'll see what happens in the next few days as the deadline to announce a candidate is August 15. The Brazilian Supreme Electoral Court has until Sept. 17 to analyze all candidacy bids.
767,2018-08-05T01:01:15Z,5,[65.0],[35.0],
5018,2018-08-04T18:20:39Z,6,[95.0],[10.0],
23879,2018-08-03T23:48:24Z,3,[95.0],[15.0],"Updating from 80%. Looks like it's down to whether or not Lula is allowed to run [1], which he almost certainly will not."
60099,2018-08-03T10:11:28Z,1,[75.0],[75.0],
4073,2018-08-03T03:22:01Z,1,[85.0],[85.0],
3872,2018-08-01T16:09:30Z,2,[80.0],[0.0],
691,2018-08-01T15:15:38Z,34,[90.0],[2.0],
60069,2018-08-01T14:13:49Z,1,[80.0],[80.0],
3872,2018-08-01T13:32:12Z,1,[80.0],[80.0],
172,2018-08-01T09:55:42Z,17,[100.0],[0.0],
29918,2018-07-31T15:49:52Z,1,[45.0],[45.0],"1. Lula is still way ahead in polls, but parties can change their candidate on ballot 20 days before Oct 7 https://www.reuters.com/article/us-brazil-politics-lula-analysis/brazils-workers-party-clings-to-lula-candidacy-idUSKBN1HH365 2. Fresh corruption charges against Lula and his spokesperson Senator Gleisi, Former Finance Minister signed plea deal https://www.reuters.com/article/us-brazil-politics/brazils-lula-workers-party-leader-hit-by-new-corruption-charges-idUSKBN1I22J7 3. Racist second most popular candidate https://politicalinsights.org/2018/07/31/the-trump-of-the-tropics-spells-danger-for-brazil/ 4. The conviction that will most likely bar Lula from running https://www.reuters.com/article/us-brazil-politics-lula/lulas-party-weighs-brazil-northeast-vote-in-search-for-stand-in-sources-idUSKBN1K72Q5 5. Mercurial Supreme Court, Chief Justice was general counsel at Lula's government https://www.bloomberg.com/view/articles/2018-07-15/brazil-s-mercurial-courts-undermine-growth-and-democracy 5. Legal battles http://www.xinhuanet.com/english/2018-07/09/c_137311408.htm 6. Workers Party nominate Lula as their candidate for presidency https://www.bbc.com/news/world-latin-america-45072660"
28414,2018-07-31T15:18:20Z,5,[100.0],[10.0],
37236,2018-07-31T12:15:43Z,9,[100.0],[0.0],"There is already a lot of fake netwsniks and partizan wonks out there trying to downplay the relevance of whoever Lula endorces. BTW, didn't realize the ""gotcha gang"" would be out in force to nail up something like GJP et al, which approximates Fantasy Baseball Camp for wannabe Sherman Kents.... The amounts of money are really insignificant when contrasted the megabillions doled out by University of Pennsyltucky (sorry I am an Ohia boy) evergreens like the Fels Instute since the Cold War days when it was participating in programs at disclosed locations between Wright Patterson AFB and Yellow Springs, Ohia."
58958,2018-07-31T11:30:03Z,4,[95.0],[3.0],
5018,2018-07-31T02:56:59Z,5,[85.0],[5.0],
46161,2018-07-30T21:17:27Z,1,[89.0],[89.0],The law forbids Lula from running if court ruling is upheld. I think he is likely to endorce another candidate before September 17th.
691,2018-07-30T12:01:11Z,33,[88.0],[0.0],
36016,2018-07-30T06:42:09Z,1,[40.0],[40.0],
4066,2018-07-29T23:01:55Z,1,[90.0],[90.0],
691,2018-07-29T11:42:37Z,32,[88.0],[0.0],
60024,2018-07-28T22:15:35Z,1,[63.0],[63.0],Base rate. Highly chance lula is kept in jail
37236,2018-07-27T16:35:40Z,8,[100.0],[93.0],"Because I've had touch of a cognitive bias ""moodswing"" I am flip-flopping. The PT and me now have to eat crow. As for the mudslinging about GJP and Carbon and what lawyers call ""free discovery"" my suggestigion is to bring Herb Stempel and Charles Van Doren (stars of Hollywood movie ""Quiz Show"") back from Second Life and make them ""superforecasters."" When that happens they won't need a Ouija Board to figure out how to find the Bahnhofstresse in downtown Zurich..."
35636,2018-07-27T14:42:07Z,5,[95.0],[5.0],
59986,2018-07-27T06:27:00Z,1,[80.0],[80.0],
172,2018-07-25T10:59:25Z,16,[100.0],[0.0],
59980,2018-07-25T09:20:13Z,1,[90.0],[90.0],
601,2018-07-24T21:11:15Z,4,[85.0],[5.0],
37852,2018-07-24T18:28:50Z,1,[15.0],[15.0],
1333,2018-07-24T16:08:27Z,7,[85.0],[-10.0],
28414,2018-07-24T13:57:17Z,4,[90.0],[10.0],
59979,2018-07-24T12:51:22Z,1,[100.0],[100.0],
59967,2018-07-23T19:19:45Z,1,[100.0],[100.0],
691,2018-07-23T12:15:12Z,31,[88.0],[-2.0],
19801,2018-07-23T10:06:40Z,4,[95.0],[0.0],Lula's party weighs Brazil northeast vote in search for stand-in: sources https://www.reuters.com/article/us-brazil-politics-lula/lulas-party-weighs-brazil-northeast-vote-in-search-for-stand-in-sources-idUSKBN1K72Q5
45670,2018-07-22T07:17:18Z,3,[100.0],[80.0],
38968,2018-07-19T15:59:11Z,1,[60.0],[60.0],
691,2018-07-19T11:45:09Z,30,[90.0],[-2.0],
28414,2018-07-19T10:18:03Z,3,[80.0],[5.0],
28414,2018-07-19T10:16:07Z,2,[75.0],[-25.0],
601,2018-07-18T21:03:21Z,3,[80.0],[10.0],
691,2018-07-18T11:08:44Z,29,[92.0],[-2.0],
172,2018-07-18T10:38:55Z,15,[100.0],[0.0],http://www.americasquarterly.org/content/its-lula-election-brazil-again
172,2018-07-18T10:35:28Z,14,[100.0],[0.0],
37236,2018-07-16T13:25:57Z,7,[7.0],[-3.0],"Dropping prediction down a bit more following MercoPress report indicating that Workers Party (PT) has ""named"" Lula its nominee (link here) http://en.mercopress.com/2018/07/16/lula-the-only-hope-for-millions-of-brazilians-says-ex-president-dilma-rousseff?utm_source=newsletter&utm_medium=email&utm_campaign=daily&utm_source=MercoPress+Latest+News&utm_campaign=1ee38c2fc8-my_google_analytics_key&utm_medium=email&utm_term=0_f95ead9f0a-1ee38c2fc8-71648993 and quoting impeached former president Dilma. Perhaps you might want to consider clarify what you all mean as to what constitues ""nomination"" ..."
34376,2018-07-16T08:30:45Z,2,[90.0],[10.0],
12591,2018-07-15T16:28:46Z,2,[90.0],[0.0],
691,2018-07-15T16:04:19Z,28,[94.0],[0.0],
37236,2018-07-15T01:47:12Z,6,[10.0],[-41.0],"On July12, the Supreme Federal Tribunal turned down 143 Habeas Corpus requests filed with the intention of getting Lula out of jail. And the judicial system doesnt respond well to pressure. Here is link. https://politica.estadao.com.br/blogs/fausto-macedo/o-habeas-padronizado-parag-lula-negado-por-laurita/ There is a lot of turmoil in the justice system at all levels and there will be more as positioning for October elections plays out. I have revised my forecast only because some conditional probablities are starting to show up in Brazil media that don't reach many in this community in US, EU, which could help increase the probability of a 'political solution' that could be negotiated and allow Lula to run. Then too, one might recast this question incorporating the possibility that the PT (Workers Party) will nominate Lula, but for the purpose of having the nomination-candidacy ruled illegal. There is nobody, but nobody in the PT who would want to run as a stand in for Lula. It would be an embarassment to the already tarnished pride of the party, and offer no upside to the career of whoever would be enough of a schlamiel to go for it."
1333,2018-07-14T16:09:41Z,6,[95.0],[-3.0],
40039,2018-07-13T20:44:17Z,1,[85.0],[85.0],
1333,2018-07-13T14:13:11Z,5,[98.0],[-1.0],
35636,2018-07-13T05:21:27Z,4,[90.0],[-9.0],"Don't know much about Brazil. Just Havaianas, Rio, soccer, copiaba (is that the drink?, misspelled it anyways I think and there is that copiabera or something. Oh and that martial arts dancing thingy copiera?). Oh and Carnival! Senna, Copacabana, Ipanema. Fun! Pele. Neymar rolling around everywhere and spending 14 minutes on the ground at the 2018 World Cup. Hmm. Can Neymar SCUBA dive too?"
41922,2018-07-12T14:00:49Z,6,[50.0],[-30.0],
691,2018-07-12T12:24:27Z,27,[94.0],[0.0],
172,2018-07-12T00:32:05Z,13,[100.0],[0.0],
767,2018-07-11T23:26:14Z,4,[30.0],[0.0],"Brazil: Lula supporters hope release is near after weekend of legal drama A judge ordered that Lula be freed three times but was overruled, as Brazilians compared the drama to a World Cup shootout"
59792,2018-07-10T10:08:15Z,1,[30.0],[30.0],The worker's party is too tied to Lula at this point to get organized internally and submit a different candidate. The recent effort to free him shows they are mostly focused on making Lula a martyr.
31410,2018-07-10T09:46:42Z,2,[40.0],[-45.0],there is a reasonable chance that he'll be nominated
25141,2018-07-09T14:52:25Z,1,[90.0],[90.0],
48709,2018-07-09T14:44:48Z,2,[100.0],[100.0],Time update.
691,2018-07-09T11:15:49Z,26,[94.0],[24.0],
30485,2018-07-08T21:08:08Z,1,[90.0],[90.0],
